dependent_variable,model_name,spec_name,p,q,n_obs,pseudo_r_squared,aic,bic,n_regressors,regressors
gold_vol,"gold_cross_asset_arma(2,1)",gold_cross_asset,2,1,9441,0.16819871996467495,19101.179733365716,19172.705786578965,5,brent_pos_ret | oil_large_pos_shock | spx_vol | us10y_vol | msci_vol
gold_vol,"gold_cross_asset_arma(1,2)",gold_cross_asset,1,2,9441,0.1680045893990164,19099.964773299704,19171.489767022566,5,brent_pos_ret | oil_large_pos_shock | spx_vol | us10y_vol | msci_vol
gold_vol,"gold_cross_asset_arma(1,1)",gold_cross_asset,1,1,9441,0.16771822957176008,19104.578024179988,19168.951472071913,5,brent_pos_ret | oil_large_pos_shock | spx_vol | us10y_vol | msci_vol
gold_vol,"gold_cross_asset_arma(2,2)",gold_cross_asset,2,2,9441,0.16759560694819087,19108.360055751902,19187.037548847053,5,brent_pos_ret | oil_large_pos_shock | spx_vol | us10y_vol | msci_vol
gold_vol,"gold_interaction_arma(2,1)",gold_interaction,2,1,9441,0.12897939677542647,19532.052449857423,19589.273292428024,3,brent_pos_ret | oil_large_pos_shock | brent_pos_x_large
gold_vol,"gold_interaction_arma(2,2)",gold_interaction,2,2,9441,0.1288444634331828,19534.052865877482,19598.42536022806,3,brent_pos_ret | oil_large_pos_shock | brent_pos_x_large
gold_vol,"gold_interaction_arma(1,2)",gold_interaction,1,2,9441,0.12876037166765975,19530.961280827338,19588.18127580563,3,brent_pos_ret | oil_large_pos_shock | brent_pos_x_large
gold_vol,"gold_interaction_arma(1,1)",gold_interaction,1,1,9441,0.1287285416311219,19532.73152622333,19582.799763472605,3,brent_pos_ret | oil_large_pos_shock | brent_pos_x_large
gold_vol,"gold_baseline_arma(2,1)",gold_baseline,2,1,9441,0.12845305694332187,19535.736476207974,19585.804713457248,2,brent_pos_ret | oil_large_pos_shock
gold_vol,"gold_baseline_arma(1,2)",gold_baseline,1,2,9441,0.12823328048026306,19534.63842881803,19584.705924424034,2,brent_pos_ret | oil_large_pos_shock
gold_vol,"gold_baseline_arma(2,2)",gold_baseline,2,2,9441,0.12819941881236518,19536.695383794893,19593.915378773185,2,brent_pos_ret | oil_large_pos_shock
gold_vol,"gold_baseline_arma(1,1)",gold_baseline,1,1,9441,0.1281799198340552,19536.653101166088,19579.568733094038,2,brent_pos_ret | oil_large_pos_shock
gold_vol,"gold_smoothed_arma(2,2)",gold_smoothed,2,2,9439,0.1276983288777116,19529.88520918291,19587.103508707132,2,brent_pos_ma3 | oil_large_pos_shock
gold_vol,"gold_smoothed_arma(2,1)",gold_smoothed,2,1,9439,0.12763210270338166,19533.33465154998,19583.401405434128,2,brent_pos_ma3 | oil_large_pos_shock
gold_vol,"gold_smoothed_arma(1,2)",gold_smoothed,1,2,9439,0.12754170718635838,19528.00577915353,19578.071791237224,2,brent_pos_ma3 | oil_large_pos_shock
gold_vol,"gold_smoothed_arma(1,1)",gold_smoothed,1,1,9439,0.12734091802072467,19534.308309543587,19577.222670015715,2,brent_pos_ma3 | oil_large_pos_shock
gold_vol,"gold_cross_asset_arma(2,0)",gold_cross_asset,2,0,9441,0.10440869136739794,19797.13491965463,19861.508367546554,5,brent_pos_ret | oil_large_pos_shock | spx_vol | us10y_vol | msci_vol
gold_vol,"gold_cross_asset_arma(1,0)",gold_cross_asset,1,0,9441,0.092111031055362,19925.164183095447,19982.38587316856,5,brent_pos_ret | oil_large_pos_shock | spx_vol | us10y_vol | msci_vol
gold_vol,"gold_interaction_arma(2,0)",gold_interaction,2,0,9441,0.05281926879066556,20321.916767194038,20371.98500444331,3,brent_pos_ret | oil_large_pos_shock | brent_pos_x_large
gold_vol,"gold_smoothed_arma(2,0)",gold_smoothed,2,0,9439,0.05207134451841522,20320.41068555224,20363.32504602437,2,brent_pos_ma3 | oil_large_pos_shock
gold_vol,"gold_baseline_arma(2,0)",gold_baseline,2,0,9441,0.051719383013203224,20330.857975597784,20373.773607525734,2,brent_pos_ret | oil_large_pos_shock
gold_vol,"gold_interaction_arma(1,0)",gold_interaction,1,0,9441,0.03326345443371059,20514.011759620495,20556.92802717533,3,brent_pos_ret | oil_large_pos_shock | brent_pos_x_large
gold_vol,"gold_smoothed_arma(1,0)",gold_smoothed,1,0,9439,0.03275033871098021,20514.233999935943,20549.996496797376,2,brent_pos_ma3 | oil_large_pos_shock
gold_vol,"gold_baseline_arma(1,0)",gold_baseline,1,0,9441,0.03185413980217522,20525.759651500033,20561.52320779573,2,brent_pos_ret | oil_large_pos_shock
